ID	entity	group	role	mbfc	RE	HI	CO	MO	EC
12	President Trump	GOVERNMENTS_POLITICIANS_POLIT.ORGS	villain	right_bias	False	False	True	False	False
12	the States	GOVERNMENTS_POLITICIANS_POLIT.ORGS	victim	right_bias	False	False	True	False	False
13	Greta Thunberg, a 16-year-old climate change activist	ENV.ORGS_ACTIVISTS	hero	right_bias	False	False	False	False	False
13	fossil fuels	INDUSTRY_EMISSIONS	villain	right_bias	False	False	False	False	False
19	The Federal Energy Regulatory Commission FERC	GOVERNMENTS_POLITICIANS_POLIT.ORGS	hero	right_bias	True	False	True	False	False
19	two year partisan deadlock	GOVERNMENTS_POLITICIANS_POLIT.ORGS	villain	right_bias	True	False	True	False	False
19	a lack of export infrastructure	INDUSTRY_EMISSIONS	villain	right_bias	True	False	True	False	False
20	the Earth	ANIMALS_NATURE_ENVIRONMENT	victim	right_bias	False	False	False	False	False
20	the ocean	ANIMALS_NATURE_ENVIRONMENT	hero	right_bias	False	False	False	False	False
20	the ocean	ANIMALS_NATURE_ENVIRONMENT	villain	right_bias	False	False	False	False	False
20	carbon dioxide in atmosphere and ocean	INDUSTRY_EMISSIONS	villain	right_bias	False	False	False	False	False
21	America	GOVERNMENTS_POLITICIANS_POLIT.ORGS	victim	right_bias	False	False	True	False	True
21	Freshman Democrat Alexandria Ocasio-Cortez	GOVERNMENTS_POLITICIANS_POLIT.ORGS	villain	right_bias	False	False	True	False	True
25	youth climate activists	ENV.ORGS_ACTIVISTS	hero	right_bias	False	False	True	False	False
25	disaster-hit countries	GENERALPUBLIC	victim	right_bias	False	False	True	False	False
25	least-developed states	GENERALPUBLIC	hero	right_bias	False	False	True	False	False
25	People across the world	GENERALPUBLIC	hero	right_bias	False	False	True	False	False
25	small-island states	GENERALPUBLIC	hero	right_bias	False	False	True	False	False
25	the world's	GENERALPUBLIC	hero	right_bias	False	False	True	False	False
25	the world's	GENERALPUBLIC	victim	right_bias	False	False	True	False	False
25	Australia	GOVERNMENTS_POLITICIANS_POLIT.ORGS	villain	right_bias	False	False	True	False	False
25	Brazil	GOVERNMENTS_POLITICIANS_POLIT.ORGS	villain	right_bias	False	False	True	False	False
25	China	GOVERNMENTS_POLITICIANS_POLIT.ORGS	villain	right_bias	False	False	True	False	False
25	governments	GOVERNMENTS_POLITICIANS_POLIT.ORGS	villain	right_bias	False	False	True	False	False
25	India	GOVERNMENTS_POLITICIANS_POLIT.ORGS	villain	right_bias	False	False	True	False	False
25	Saudi Arabia	GOVERNMENTS_POLITICIANS_POLIT.ORGS	villain	right_bias	False	False	True	False	False
25	the European Union	GOVERNMENTS_POLITICIANS_POLIT.ORGS	hero	right_bias	False	False	True	False	False
25	USA	GOVERNMENTS_POLITICIANS_POLIT.ORGS	villain	right_bias	False	False	True	False	False
28	activists	ENV.ORGS_ACTIVISTS	villain	right_bias	False	False	True	False	False
28	activists	ENV.ORGS_ACTIVISTS	victim	right_bias	False	False	True	False	False
28	Thousands of European activists	ENV.ORGS_ACTIVISTS	hero	right_bias	False	False	True	False	False
30	Environmental movement	ENV.ORGS_ACTIVISTS	victim	right_bias	False	True	True	False	False
30	Extinction Rebellion	ENV.ORGS_ACTIVISTS	villain	right_bias	False	True	True	False	False
30	law enforcement	GOVERNMENTS_POLITICIANS_POLIT.ORGS	victim	right_bias	False	True	True	False	False
30	businesses	INDUSTRY_EMISSIONS	victim	right_bias	False	True	True	False	False
30	businesses	INDUSTRY_EMISSIONS	victim	right_bias	False	True	True	False	False
32	the highest tide in 50 years	ANIMALS_NATURE_ENVIRONMENT	villain	right_bias	True	True	False	False	True
32	Global warming	CLIMATECHANGE	villain	right_bias	True	True	False	False	True
32	Prime Minister Giuseppe Conte	GOVERNMENTS_POLITICIANS_POLIT.ORGS	hero	right_bias	True	True	False	False	True
32	Venice	GOVERNMENTS_POLITICIANS_POLIT.ORGS	victim	right_bias	True	True	False	False	True
39	O'Rourke	GOVERNMENTS_POLITICIANS_POLIT.ORGS	villain	right_bias	False	True	False	True	False
40	Sanders	GOVERNMENTS_POLITICIANS_POLIT.ORGS	hero	right_bias	True	False	False	False	True
40	the Green New Deal	LEGISLATION_POLICIES_RESPONSES	hero	right_bias	True	False	False	False	True
43	bipartisan	GOVERNMENTS_POLITICIANS_POLIT.ORGS	hero	right_bias	False	False	True	False	False
43	the Green New Deal	LEGISLATION_POLICIES_RESPONSES	villain	right_bias	False	False	True	False	False
43	lawmakers	LEGISLATION_POLICIES_RESPONSES	hero	right_bias	False	False	True	False	False
44	man-made climate change	CLIMATECHANGE	villain	right_bias	False	False	True	False	False
44	Climate activists	ENV.ORGS_ACTIVISTS	hero	right_bias	False	False	True	False	False
44	young students	GENERALPUBLIC	villain	right_bias	False	False	True	False	False
44	kids	GENERALPUBLIC	villain	right_bias	False	False	True	False	False
46	downtown Manhattan community	GENERALPUBLIC	victim	right_bias	False	False	True	False	True
46	waterfront neighbourhoods	GENERALPUBLIC	victim	right_bias	False	False	True	False	True
46	Bill de Blasio	GOVERNMENTS_POLITICIANS_POLIT.ORGS	villain	right_bias	False	False	True	False	True
46	New York City	GOVERNMENTS_POLITICIANS_POLIT.ORGS	victim	right_bias	False	False	True	False	True
46	New York City Mayor Bill de Blasio	GOVERNMENTS_POLITICIANS_POLIT.ORGS	villain	right_bias	False	False	True	False	True
49	President Trump	GOVERNMENTS_POLITICIANS_POLIT.ORGS	villain	right_bias	False	False	True	False	False
49	The United States	GOVERNMENTS_POLITICIANS_POLIT.ORGS	hero	right_bias	False	False	True	False	False
49	The United States	GOVERNMENTS_POLITICIANS_POLIT.ORGS	victim	right_bias	False	False	True	False	False
49	Global climate response	LEGISLATION_POLICIES_RESPONSES	victim	right_bias	False	False	True	False	False
49	the Paris climate agreement	LEGISLATION_POLICIES_RESPONSES	hero	right_bias	False	False	True	False	False
49	the Paris climate agreement	LEGISLATION_POLICIES_RESPONSES	villain	right_bias	False	False	True	False	False
50	Antarctic sea-ice	ANIMALS_NATURE_ENVIRONMENT	villain	right_bias	False	False	False	False	False
50	Antarctica's ice shelves	ANIMALS_NATURE_ENVIRONMENT	victim	right_bias	False	False	False	False	False
50	rivers of warm ocean water	ANIMALS_NATURE_ENVIRONMENT	villain	right_bias	False	False	False	False	False
50	the Earth	ANIMALS_NATURE_ENVIRONMENT	victim	right_bias	False	False	False	False	False
50	the ocean	ANIMALS_NATURE_ENVIRONMENT	villain	right_bias	False	False	False	False	False
51	climate alarmists	ENV.ORGS_ACTIVISTS	villain	right_bias	False	False	False	False	False
52	the environmental left	ENV.ORGS_ACTIVISTS	villain	right_bias	True	True	True	True	False
52	conservatives	GOVERNMENTS_POLITICIANS_POLIT.ORGS	hero	right_bias	True	True	True	True	False
52	conservatives	GOVERNMENTS_POLITICIANS_POLIT.ORGS	victim	right_bias	True	True	True	True	False
53	New York Democratic Rep. Alexandria Ocasio-Cortez	GOVERNMENTS_POLITICIANS_POLIT.ORGS	villain	right_bias	False	False	True	False	True
53	economy	INDUSTRY_EMISSIONS	victim	right_bias	False	False	True	False	True
53	Green New Deal	LEGISLATION_POLICIES_RESPONSES	hero	right_bias	False	False	True	False	True
57	the planet	ANIMALS_NATURE_ENVIRONMENT	victim	right_bias	True	False	False	False	False
57	climate alarmists	ENV.ORGS_ACTIVISTS	villain	right_bias	True	False	False	False	False
57	climate-change warriors	ENV.ORGS_ACTIVISTS	villain	right_bias	True	False	False	False	False
57	The United Nations	GOVERNMENTS_POLITICIANS_POLIT.ORGS	hero	right_bias	True	False	False	False	False
57	Nuclear	INDUSTRY_EMISSIONS	hero	right_bias	True	False	False	False	False
57	climate response	LEGISLATION_POLICIES_RESPONSES	victim	right_bias	True	False	False	False	False
59	Cortez	GOVERNMENTS_POLITICIANS_POLIT.ORGS	villain	right_bias	False	False	True	False	True
59	Democratic Party	GOVERNMENTS_POLITICIANS_POLIT.ORGS	victim	right_bias	False	False	True	False	True
59	The Green New Deal	LEGISLATION_POLICIES_RESPONSES	villain	right_bias	False	False	True	False	True
60	people health	GENERALPUBLIC	victim	right_bias	False	False	False	False	False
60	happiness	GENERALPUBLIC	victim	right_bias	False	False	False	False	False
60	health	GENERALPUBLIC	victim	right_bias	False	False	False	False	False
60	air pollution	INDUSTRY_EMISSIONS	villain	right_bias	False	False	False	False	False
60	pollution	INDUSTRY_EMISSIONS	villain	right_bias	False	False	False	False	False
64	Greta Thunberg	ENV.ORGS_ACTIVISTS	villain	right_bias	False	True	False	True	False
64	we	GENERALPUBLIC	victim	right_bias	False	True	False	True	False
69	green/environmental groups	ENV.ORGS_ACTIVISTS	victim	right_bias	True	False	True	False	True
69	the nation's most populous state	GOVERNMENTS_POLITICIANS_POLIT.ORGS	victim	right_bias	True	False	True	False	True
69	California Gov. Gavin Newsom	GOVERNMENTS_POLITICIANS_POLIT.ORGS	hero	right_bias	True	False	True	False	True
69	California Gov. Gavin Newsom	GOVERNMENTS_POLITICIANS_POLIT.ORGS	villain	right_bias	True	False	True	False	True
69	hydraulic fracturing	INDUSTRY_EMISSIONS	villain	right_bias	True	False	True	False	True
70	public health	GENERALPUBLIC	victim	right_bias	False	False	False	False	False
70	Cortez	GOVERNMENTS_POLITICIANS_POLIT.ORGS	villain	right_bias	False	False	False	False	False
70	Livestock methane emissions	INDUSTRY_EMISSIONS	villain	right_bias	False	False	False	False	False
70	Green New Deal	LEGISLATION_POLICIES_RESPONSES	hero	right_bias	False	False	False	False	False
72	public health	GENERALPUBLIC	victim	right_bias	False	False	False	False	False
72	farmers	INDUSTRY_EMISSIONS	victim	right_bias	False	False	False	False	False
72	Methane	INDUSTRY_EMISSIONS	villain	right_bias	False	False	False	False	False
72	Methane emissions from livestock	INDUSTRY_EMISSIONS	villain	right_bias	False	False	False	False	False
72	Green new deal	LEGISLATION_POLICIES_RESPONSES	hero	right_bias	False	False	False	False	False
73	Ecosystems	ANIMALS_NATURE_ENVIRONMENT	victim	right_bias	False	False	False	False	False
73	environment	ANIMALS_NATURE_ENVIRONMENT	victim	right_bias	False	False	False	False	False
73	human health	GENERALPUBLIC	victim	right_bias	False	False	False	False	False
74	we	GENERALPUBLIC	victim	right_bias	False	False	True	False	False
74	her	GOVERNMENTS_POLITICIANS_POLIT.ORGS	villain	right_bias	False	False	True	False	False
74	AOC	GOVERNMENTS_POLITICIANS_POLIT.ORGS	villain	right_bias	False	False	True	False	False
74	climatologist Judith Curry	SCIENCE_EXPERTS_SCI.REPORTS	hero	right_bias	False	False	True	False	False
74	meteorologist Ryan Maue	SCIENCE_EXPERTS_SCI.REPORTS	hero	right_bias	False	False	True	False	False
75	Americans	GENERALPUBLIC	victim	right_bias	False	False	False	False	True
75	minority communities	GENERALPUBLIC	victim	right_bias	False	False	False	False	True
75	Incoming New York Rep. Alexandria Ocasio-Cortez	GOVERNMENTS_POLITICIANS_POLIT.ORGS	villain	right_bias	False	False	False	False	True
75	her plan for a Green New Deal	LEGISLATION_POLICIES_RESPONSES	hero	right_bias	False	False	False	False	True
76	Tha planet	ANIMALS_NATURE_ENVIRONMENT	victim	right_bias	True	False	False	True	False
76	some ordinary Americans	GENERALPUBLIC	hero	right_bias	True	False	False	True	False
76	Carbon emissions	INDUSTRY_EMISSIONS	villain	right_bias	True	False	False	True	False
76	consumption excessive society	INDUSTRY_EMISSIONS	villain	right_bias	True	False	False	True	False
76	climate action	LEGISLATION_POLICIES_RESPONSES	hero	right_bias	True	False	False	True	False
77	Perpetual presidential candidate Bernie Sanders	GOVERNMENTS_POLITICIANS_POLIT.ORGS	villain	right_bias	False	True	True	False	False
77	Farmers	INDUSTRY_EMISSIONS	victim	right_bias	False	True	True	False	False
77	farmers	INDUSTRY_EMISSIONS	victim	right_bias	False	True	True	False	False
78	Livestock production	INDUSTRY_EMISSIONS	villain	right_bias	True	False	False	False	False
78	meat and dairy products	INDUSTRY_EMISSIONS	villain	right_bias	True	False	False	False	False
78	Lab-grown meat	GREEN_TECHNOLOGY_INNOVATION	hero	right_bias	True	False	False	False	False
78	The Israeli food technology startup Aleph Farms	GREEN_TECHNOLOGY_INNOVATION	hero	right_bias	True	False	False	False	False
81	Communities of colour in America	GENERALPUBLIC	victim	left_bias	True	False	True	False	True
81	poor communities of color	GENERALPUBLIC	victim	left_bias	True	False	True	False	True
81	Cory Booker	GOVERNMENTS_POLITICIANS_POLIT.ORGS	hero	left_bias	True	False	True	False	True
81	Cory Booker	GOVERNMENTS_POLITICIANS_POLIT.ORGS	hero	left_bias	True	False	True	False	True
81	Carbon	INDUSTRY_EMISSIONS	villain	left_bias	True	False	True	False	True
81	Nuclear Energy	INDUSTRY_EMISSIONS	hero	left_bias	True	False	True	False	True
84	21 young plaintiffs	GOVERNMENTS_POLITICIANS_POLIT.ORGS	victim	left_bias	False	False	True	False	False
84	the federal government	GOVERNMENTS_POLITICIANS_POLIT.ORGS	villain	left_bias	False	False	True	False	False
84	a major climate change lawsuit	LEGISLATION_POLICIES_RESPONSES	hero	left_bias	False	False	True	False	False
86	the U.S.	GOVERNMENTS_POLITICIANS_POLIT.ORGS	victim	left_bias	True	False	True	False	False
86	Congressional Democrats	GOVERNMENTS_POLITICIANS_POLIT.ORGS	hero	left_bias	True	False	True	False	False
86	Congressional Republicans	GOVERNMENTS_POLITICIANS_POLIT.ORGS	villain	left_bias	True	False	True	False	False
86	his	GOVERNMENTS_POLITICIANS_POLIT.ORGS	villain	left_bias	True	False	True	False	False
86	carbon emissions	INDUSTRY_EMISSIONS	villain	left_bias	True	False	True	False	False
86	the Green New Deal	LEGISLATION_POLICIES_RESPONSES	hero	left_bias	True	False	True	False	False
86	the Green New Deal	LEGISLATION_POLICIES_RESPONSES	hero	left_bias	True	False	True	False	False
87	Floridians	GENERALPUBLIC	victim	left_bias	True	False	False	False	True
87	the state's first chief science officer	GOVERNMENTS_POLITICIANS_POLIT.ORGS	hero	left_bias	True	False	False	False	True
87	Thomas Frazer	SCIENCE_EXPERTS_SCI.REPORTS	hero	left_bias	True	False	False	False	True
89	The public/voters	GENERALPUBLIC	victim	left_bias	True	False	False	False	False
89	the Democratic presidential contenders	GOVERNMENTS_POLITICIANS_POLIT.ORGS	hero	left_bias	True	False	False	False	False
89	CNN	MEDIA_JOURNALISTS	hero	left_bias	True	False	False	False	False
89	CNN	MEDIA_JOURNALISTS	villain	left_bias	True	False	False	False	False
90	Democrat Presidential Candidates	GOVERNMENTS_POLITICIANS_POLIT.ORGS	hero	left_bias	True	False	True	False	True
90	Warren	GOVERNMENTS_POLITICIANS_POLIT.ORGS	hero	left_bias	True	False	True	False	True
90	fossil fuel emissions	INDUSTRY_EMISSIONS	villain	left_bias	True	False	True	False	True
91	Activists	ENV.ORGS_ACTIVISTS	villain	left_bias	False	False	True	False	False
91	fossil fuel industry	INDUSTRY_EMISSIONS	villain	left_bias	False	False	True	False	False
91	renewable energy	GREEN_TECHNOLOGY_INNOVATION	hero	left_bias	False	False	True	False	False
92	the air	ANIMALS_NATURE_ENVIRONMENT	victim	left_bias	False	False	True	False	False
92	Americans	GENERALPUBLIC	victim	left_bias	False	False	True	False	False
92	the EPA	GOVERNMENTS_POLITICIANS_POLIT.ORGS	hero	left_bias	False	False	True	False	False
92	Trump	GOVERNMENTS_POLITICIANS_POLIT.ORGS	villain	left_bias	False	False	True	False	False
93	Rural voters	GENERALPUBLIC	victim	left_bias	False	True	True	False	False
93	The people	GENERALPUBLIC	victim	left_bias	False	True	True	False	False
93	Trump	GOVERNMENTS_POLITICIANS_POLIT.ORGS	villain	left_bias	False	True	True	False	False
93	Farmers	INDUSTRY_EMISSIONS	victim	left_bias	False	True	True	False	False
93	farmers	INDUSTRY_EMISSIONS	victim	left_bias	False	True	True	False	False
94	the Environmental Protection Agency	GOVERNMENTS_POLITICIANS_POLIT.ORGS	victim	left_bias	True	False	True	False	False
94	the EPA	GOVERNMENTS_POLITICIANS_POLIT.ORGS	hero	left_bias	True	False	True	False	False
94	Trump	GOVERNMENTS_POLITICIANS_POLIT.ORGS	villain	left_bias	True	False	True	False	False
94	Climate policy	LEGISLATION_POLICIES_RESPONSES	hero	left_bias	True	False	True	False	False
94	climate technology	GREEN_TECHNOLOGY_INNOVATION	hero	left_bias	True	False	True	False	False
94	Green technology	GREEN_TECHNOLOGY_INNOVATION	hero	left_bias	True	False	True	False	False
95	Trump	GOVERNMENTS_POLITICIANS_POLIT.ORGS	villain	left_bias	True	False	False	False	True
95	fossil fuels	INDUSTRY_EMISSIONS	villain	left_bias	True	False	False	False	True
95	Green New Deal	LEGISLATION_POLICIES_RESPONSES	hero	left_bias	True	False	False	False	True
96	Detroiters	GENERALPUBLIC	victim	left_bias	True	True	True	False	False
96	Rep. Alexandria Ocasio-Cortez D-N.Y.	GOVERNMENTS_POLITICIANS_POLIT.ORGS	hero	left_bias	True	True	True	False	False
96	Rep. Alexandria Ocasio-Cortez D-N.Y.	GOVERNMENTS_POLITICIANS_POLIT.ORGS	victim	left_bias	True	True	True	False	False
96	auto industry	INDUSTRY_EMISSIONS	villain	left_bias	True	True	True	False	False
96	Industrial polluters	INDUSTRY_EMISSIONS	villain	left_bias	True	True	True	False	False
96	industry	INDUSTRY_EMISSIONS	villain	left_bias	True	True	True	False	False
96	a Green New Deal	LEGISLATION_POLICIES_RESPONSES	hero	left_bias	True	True	True	False	False
97	Air quality	ANIMALS_NATURE_ENVIRONMENT	victim	left_bias	True	False	True	False	False
97	people	GENERALPUBLIC	victim	left_bias	True	False	True	False	False
97	the EPA	GOVERNMENTS_POLITICIANS_POLIT.ORGS	villain	left_bias	True	False	True	False	False
97	Trump	GOVERNMENTS_POLITICIANS_POLIT.ORGS	villain	left_bias	True	False	True	False	False
97	Clean air regulation	LEGISLATION_POLICIES_RESPONSES	hero	left_bias	True	False	True	False	False
97	observational data, time series, and quasi-experiments	SCIENCE_EXPERTS_SCI.REPORTS	hero	left_bias	True	False	True	False	False
98	Americans	GENERALPUBLIC	victim	left_bias	True	False	True	False	True
98	Republicans	GOVERNMENTS_POLITICIANS_POLIT.ORGS	villain	left_bias	True	False	True	False	True
98	fossil fuel workers	INDUSTRY_EMISSIONS	victim	left_bias	True	False	True	False	True
98	Global emissions	INDUSTRY_EMISSIONS	villain	left_bias	True	False	True	False	True
98	Green New Deal	LEGISLATION_POLICIES_RESPONSES	hero	left_bias	True	False	True	False	True
99	3,600 premature deaths a year, 1,700 heart attacks and 90,000 asthma attacks	GENERALPUBLIC	victim	left_bias	True	False	True	False	False
99	President Donald Trump's	GOVERNMENTS_POLITICIANS_POLIT.ORGS	villain	left_bias	True	False	True	False	False
99	her state	GOVERNMENTS_POLITICIANS_POLIT.ORGS	hero	left_bias	True	False	True	False	False
99	U.S climate response	LEGISLATION_POLICIES_RESPONSES	victim	left_bias	True	False	True	False	False
99	Former President Barack Obama's plan	LEGISLATION_POLICIES_RESPONSES	hero	left_bias	True	False	True	False	False
100	climate activists	ENV.ORGS_ACTIVISTS	hero	left_bias	True	False	True	False	False
100	Democrat President	GOVERNMENTS_POLITICIANS_POLIT.ORGS	hero	left_bias	True	False	True	False	False
102	Monument	ANIMALS_NATURE_ENVIRONMENT	victim	left_bias	False	False	True	False	False
102	National Parks Conservation Association	ENV.ORGS_ACTIVISTS	hero	left_bias	False	False	True	False	False
102	indigenous tribes throughout the U.S. Southwest	GENERALPUBLIC	victim	left_bias	False	False	True	False	False
102	Bureau of Land Management	GOVERNMENTS_POLITICIANS_POLIT.ORGS	villain	left_bias	False	False	True	False	False
102	The Trump administation	GOVERNMENTS_POLITICIANS_POLIT.ORGS	villain	left_bias	False	False	True	False	False
103	fires that are raging in the Amazon	ANIMALS_NATURE_ENVIRONMENT	victim	left_bias	False	False	True	False	False
103	Wildfires	ANIMALS_NATURE_ENVIRONMENT	villain	left_bias	False	False	True	False	False
103	Brazil	GOVERNMENTS_POLITICIANS_POLIT.ORGS	villain	left_bias	False	False	True	False	False
103	Brazil	GOVERNMENTS_POLITICIANS_POLIT.ORGS	victim	left_bias	False	False	True	False	False
103	Brazilian Military	GOVERNMENTS_POLITICIANS_POLIT.ORGS	hero	left_bias	False	False	True	False	False
104	climate change	CLIMATECHANGE	victim	left_bias	True	False	False	False	True
104	Trump	GOVERNMENTS_POLITICIANS_POLIT.ORGS	villain	left_bias	True	False	False	False	True
104	the United Nations	GOVERNMENTS_POLITICIANS_POLIT.ORGS	hero	left_bias	True	False	False	False	True
104	the US	GOVERNMENTS_POLITICIANS_POLIT.ORGS	villain	left_bias	True	False	False	False	True
104	UN	GOVERNMENTS_POLITICIANS_POLIT.ORGS	hero	left_bias	True	False	False	False	True
109	3 million species of plants and animals and 1 million or so people who call the Amazon home	ANIMALS_NATURE_ENVIRONMENT	victim	left_bias	False	False	True	False	False
109	The Amazon	ANIMALS_NATURE_ENVIRONMENT	victim	left_bias	False	False	True	False	False
109	right-wing President Jair Bolsonaro's environmental policies	LEGISLATION_POLICIES_RESPONSES	villain	left_bias	False	False	True	False	False
110	Trump administration	GOVERNMENTS_POLITICIANS_POLIT.ORGS	hero	left_bias	False	False	True	False	True
110	National Economic Council Director Larry Kudlow	GOVERNMENTS_POLITICIANS_POLIT.ORGS	villain	left_bias	False	False	True	False	True
110	U.S Economy	INDUSTRY_EMISSIONS	victim	left_bias	False	False	True	False	True
110	Green New Deal	LEGISLATION_POLICIES_RESPONSES	villain	left_bias	False	False	True	False	True
110	proposal	LEGISLATION_POLICIES_RESPONSES	hero	left_bias	False	False	True	False	True
111	The Amazon rainforest	ANIMALS_NATURE_ENVIRONMENT	victim	left_bias	True	False	True	True	False
111	The human race	GENERALPUBLIC	victim	left_bias	True	False	True	True	False
111	Bolsonaro	GOVERNMENTS_POLITICIANS_POLIT.ORGS	villain	left_bias	True	False	True	True	False
111	left parties	GOVERNMENTS_POLITICIANS_POLIT.ORGS	hero	left_bias	True	False	True	True	False
111	The EU	GOVERNMENTS_POLITICIANS_POLIT.ORGS	hero	left_bias	True	False	True	True	False
111	The UN	GOVERNMENTS_POLITICIANS_POLIT.ORGS	hero	left_bias	True	False	True	True	False
112	America's public land	ANIMALS_NATURE_ENVIRONMENT	hero	left_bias	True	False	True	False	True
112	the Trump administration	GOVERNMENTS_POLITICIANS_POLIT.ORGS	villain	left_bias	True	False	True	False	True
112	Democrat President	GOVERNMENTS_POLITICIANS_POLIT.ORGS	hero	left_bias	True	False	True	False	True
112	Castro	GOVERNMENTS_POLITICIANS_POLIT.ORGS	hero	left_bias	True	False	True	False	True
112	Castro	GOVERNMENTS_POLITICIANS_POLIT.ORGS	villain	left_bias	True	False	True	False	True
112	fossil fuel extraction	INDUSTRY_EMISSIONS	villain	left_bias	True	False	True	False	True
113	human health	GENERALPUBLIC	victim	left_bias	True	False	False	False	False
113	the EPA	GOVERNMENTS_POLITICIANS_POLIT.ORGS	victim	left_bias	True	False	False	False	False
113	Trump Administration	GOVERNMENTS_POLITICIANS_POLIT.ORGS	villain	left_bias	True	False	False	False	False
113	He	GOVERNMENTS_POLITICIANS_POLIT.ORGS	villain	left_bias	True	False	False	False	False
113	US economy	INDUSTRY_EMISSIONS	victim	left_bias	True	False	False	False	False
113	Obama-era regulations	LEGISLATION_POLICIES_RESPONSES	hero	left_bias	True	False	False	False	False
115	federal and Native American land	ANIMALS_NATURE_ENVIRONMENT	victim	left_bias	False	False	True	False	False
115	public health	GENERALPUBLIC	victim	left_bias	False	False	True	False	False
115	The Trump administration	GOVERNMENTS_POLITICIANS_POLIT.ORGS	villain	left_bias	False	False	True	False	False
115	Trump administration	GOVERNMENTS_POLITICIANS_POLIT.ORGS	villain	left_bias	False	False	True	False	False
115	greenhouse gas emissions	INDUSTRY_EMISSIONS	villain	left_bias	False	False	True	False	False
115	Clean Power Plan	LEGISLATION_POLICIES_RESPONSES	hero	left_bias	False	False	True	False	False
119	President Donald Trump	GOVERNMENTS_POLITICIANS_POLIT.ORGS	villain	left_bias	True	False	True	False	False
119	world	GOVERNMENTS_POLITICIANS_POLIT.ORGS	victim	left_bias	True	False	True	False	False
119	Democrat President	GOVERNMENTS_POLITICIANS_POLIT.ORGS	hero	left_bias	True	False	True	False	False
119	U.S climate response	LEGISLATION_POLICIES_RESPONSES	victim	left_bias	True	False	True	False	False
119	new standards that had been implemented during the Obama administration	LEGISLATION_POLICIES_RESPONSES	hero	left_bias	True	False	True	False	False
122	America	GOVERNMENTS_POLITICIANS_POLIT.ORGS	victim	left_bias	True	False	False	False	True
122	other candidates	GOVERNMENTS_POLITICIANS_POLIT.ORGS	hero	left_bias	True	False	False	False	True
