id,_source,_mbfc,_opinion,_year,_text,ar1_LL,ar1_CA,ar1_AR,ar1_DA,ar1a_LL,ar1a_CA,ar1a_AR,ar1a_DA,ar2_LL,ar2_CA,ar2_AR,ar2_DA,ar3_LL,ar3_CA,ar3_AR,ar3_DA,ar4_LL,ar4_CA,ar4_AR,ar4_DA,ar5_LL,ar5_CA,ar5_AR,ar5_DA,hi1_LL,hi1_CA,hi1_AR,hi1_DA,hi2_LL,hi2_CA,hi2_AR,hi2_DA,hi5_LL,hi5_CA,hi5_AR,hi5_DA,co1_LL,co1_CA,co1_AR,co1_DA,co2_LL,co2_CA,co2_AR,co2_DA,co3_LL,co3_CA,co3_AR,co3_DA,mo1_LL,mo1_CA,mo1_AR,mo1_DA,mo2_LL,mo2_CA,mo2_AR,mo2_DA,mo3_LL,mo3_CA,mo3_AR,mo3_DA,ec1_LL,ec1_CA,ec1_AR,ec1_DA,ec2_LL,ec2_CA,ec2_AR,ec2_DA,ec3_LL,ec3_CA,ec3_AR,ec3_DA,comm_LL,comm_CA,comm_AR,comm_DA,ar6_LL,ar6_CA,ar6_AR,ar6_DA,ar7_LL,ar7_CA,ar7_AR,ar7_DA,hi3_LL,hi3_CA,hi3_AR,hi3_DA,hi4_LL,hi4_CA,hi4_AR,hi4_DA,co4_LL,co4_CA,co4_AR,co4_DA,ar6_ents_LL,ar6_ents_CA,ar6_ents_AR,ar6_ents_DA,ar7_ents_LL,ar7_ents_CA,ar7_ents_AR,ar7_ents_DA,hi3_ents_LL,hi3_ents_CA,hi3_ents_AR,hi3_ents_DA,hi4_ents_LL,hi4_ents_CA,hi4_ents_AR,hi4_ents_DA,ar1a_ents_LL,ar1a_ents_CA,ar1a_ents_AR,ar1a_ents_DA,co4_ents_winner_LL,co4_ents_winner_CA,co4_ents_winner_AR,co4_ents_winner_DA,co4_ents_loser_LL,co4_ents_loser_CA,co4_ents_loser_AR,co4_ents_loser_DA
813,The Guardian,left_center_bias,False,2017,-1,yes,yes,-1,-1,yes,yes,-1,-1,yes,yes,-1,-1,no,no,-1,-1,yes,yes,-1,-1,yes,no,-1,-1,no,no,-1,-1,no,no,-1,-1,no,no,-1,-1,no,yes,-1,-1,no,yes,-1,-1,yes,yes,-1,-1,no,no,-1,-1,no,no,-1,-1,no,no,-1,-1,yes,yes,-1,-1,no,yes,-1,-1,yes,yes,-1,-1,,,-1,-1,yes,yes,-1,-1,yes,yes,-1,-1,no,no,-1,-1,yes,yes,-1,-1,yes,yes,-1,-1,['California 0'],['voted 1'],-1,-1,['37 oil   gas and coal companies 5'],['Donald Trump â\x80\x99s 3'],-1,-1,[],[],-1,-1,['California 0'],['California 0'],-1,-1,['California lawmakers extend program to cut emissions in bipartisan vote'],['California lawmakers extend program to cut emissions in bipartisan vote'],-1,-1,['California 0'],['California 0'],-1,-1,['no_loser'],['Donald Trump â\x80\x99s 3'],-1,-1
733,Vox,left_bias,False,2017,-1,yes,yes,-1,yes,yes,yes,-1,no,yes,no,-1,no,no,no,-1,no,yes,yes,-1,no,yes,no,-1,no,no,no,-1,no,no,no,-1,no,no,no,-1,no,no,yes,-1,yes,no,no,-1,no,yes,yes,-1,yes,no,no,-1,no,no,no,-1,no,no,no,-1,no,no,no,-1,no,no,no,-1,no,no,no,-1,no,,,-1,,yes,no,-1,no,yes,yes,-1,yes,yes,yes,-1,yes,no,no,-1,no,yes,no,-1,no,['the Paris climate accord 2'],[],-1,[],['President Donald Trump 0'],['President Donald Trump 0'],-1,['President Donald Trump 0'],['other'  'environmental regulation'],['the United States 1'],-1,['the United States 1'],[],[],-1,[],['Video: President Trump pulls US out of Paris climate deal'],['VIdeo: President Trump pulls US out of Paris climate deal'],-1,"[""Trump pulls out of Paris climate deal despite America's high emissions and debate within the White House""]",['other'  'fossil fuel companies'],[],-1,[],['other'  'environmental regulation'],[],-1,[]
812,BBC,left_center_bias,False,2017,-1,yes,-1,-1,yes,yes,-1,-1,yes,yes,-1,-1,yes,no,-1,-1,no,yes,-1,-1,yes,yes,-1,-1,yes,no,-1,-1,no,no,-1,-1,no,no,-1,-1,no,no,-1,-1,no,no,-1,-1,no,no,-1,-1,no,no,-1,-1,no,no,-1,-1,no,no,-1,-1,no,no,-1,-1,no,no,-1,-1,no,no,-1,-1,no,,-1,-1,,yes,-1,-1,yes,yes,-1,-1,yes,no,-1,-1,no,no,-1,-1,no,no,-1,-1,no,['the Paris agreement 5'],-1,-1,['the Paris agreement 5'],['other'  'human activities; El NiÃ±o weather phenomenon'],-1,-1,['other'  'human activities and the El NiÃ±o weather phenomenon'],[],-1,-1,[],[],-1,-1,[],['Record surge in atmospheric CO2 seen in 2016'],-1,-1,['Record surge in atmospheric CO2 seen in 2016'],[],-1,-1,[],[],-1,-1,[]
315,foxnews,right_bias,False,2018,-1,yes,yes,-1,-1,yes,yes,-1,-1,yes,yes,-1,-1,no,no,-1,-1,yes,yes,-1,-1,yes,no,-1,-1,no,yes,-1,-1,yes,yes,-1,-1,no,no,-1,-1,yes,yes,-1,-1,yes,yes,-1,-1,no,no,-1,-1,no,no,-1,-1,no,no,-1,-1,no,no,-1,-1,no,no,-1,-1,no,no,-1,-1,no,no,-1,-1,,,-1,-1,yes,yes,-1,-1,yes,yes,-1,-1,yes,yes,-1,-1,no,no,-1,-1,no,no,-1,-1,['other'  'California'],['California Gov. Jerry Brown 0'],-1,-1,['President Trump 2'],['President Trump 2'],-1,-1,['other'  'America'],['the country 1'],-1,-1,[],[],-1,-1,"[""California Gov. Brown on Trump: 'Something's got to happen to this guy...he's going to undermine America'""]","[""California Gov. Brown on Trump: 'Something's got to happen to this guy...he's going to undermine America'""]",-1,-1,[],[],-1,-1,[],[],-1,-1
177,bbc,left_center_bias,False,2019,-1,yes,yes,-1,-1,no,no,-1,-1,yes,yes,-1,-1,no,no,-1,-1,yes,yes,-1,-1,no,yes,-1,-1,no,yes,-1,-1,no,no,-1,-1,yes,no,-1,-1,no,no,-1,-1,no,no,-1,-1,no,no,-1,-1,yes,no,-1,-1,no,no,-1,-1,no,no,-1,-1,no,no,-1,-1,yes,yes,-1,-1,no,no,-1,-1,,,-1,-1,yes,yes,-1,-1,yes,yes,-1,-1,no,yes,-1,-1,no,yes,-1,-1,no,no,-1,-1,['other'  'eco-tourism'],['The Brando 0'],-1,-1,"['other'  ""tourism's carbon footprint""]",['Rats 6'],-1,-1,[],['Tetiaroa - a stunning atoll north of Tahiti 1'],-1,-1,[],['Tetiaroa - a stunning atoll north of Tahiti 1'],-1,-1,['How eco-tourism can reduce tourisms carbon footprint.'],['tourism resorts need to start. becoming eco-friendly '],-1,-1,[],[],-1,-1,[],[],-1,-1
174,cnbc,left_center_bias,False,2019,-1,yes,-1,-1,yes,no,-1,-1,no,yes,-1,-1,yes,no,-1,-1,no,yes,-1,-1,yes,no,-1,-1,yes,no,-1,-1,no,no,-1,-1,yes,no,-1,-1,no,yes,-1,-1,yes,yes,-1,-1,no,yes,-1,-1,yes,no,-1,-1,no,no,-1,-1,no,no,-1,-1,no,no,-1,-1,yes,no,-1,-1,no,no,-1,-1,no,,-1,-1,,yes,-1,-1,yes,yes,-1,-1,yes,yes,-1,-1,yes,no,-1,-1,no,no,-1,-1,no,['other'  'House Democrats'],-1,-1,[],['President Donald Trump 0'],-1,-1,['other'  'House Natural Resources Committee'],['other'  'Environmental regulations'],-1,-1,['other'  'Americans'],[],-1,-1,[],"[""Trump's war on energy and environmental regulation facing an increasingly level of scutiny with Democrat-controlled House""]",-1,-1,"[""Capitol Hill prepares to scrutinise President Trump's rollback of energy   climate and environmental regulations during first two years in office""]",[],-1,-1,[],[],-1,-1,[]
240,dailymail,questionable_source,False,2019,-1,not_relevant,yes,-1,yes,not_relevant,no,-1,no,not_relevant,yes,-1,no,not_relevant,no,-1,no,not_relevant,yes,-1,no,not_relevant,yes,-1,yes,not_relevant,yes,-1,yes,not_relevant,yes,-1,yes,not_relevant,yes,-1,yes,not_relevant,yes,-1,yes,not_relevant,yes,-1,yes,not_relevant,no,-1,yes,not_relevant,no,-1,yes,not_relevant,no,-1,no,not_relevant,no,-1,no,not_relevant,no,-1,no,not_relevant,no,-1,no,not_relevant,yes,-1,no,not_relevant,,-1,,not_relevant,yes,-1,yes,not_relevant,yes,-1,yes,not_relevant,yes,-1,yes,not_relevant,no,-1,no,not_relevant,no,-1,no,not_relevant,['Greta Thunberg 0'],-1,['Greta Thunberg 0'],not_relevant,['Trump 1'],-1,['international delegates 3'],not_relevant,['other'  'climate and ecological crisis'],-1,['People 6'],not_relevant,[],-1,[],not_relevant,"[""Greta Thunberg's speech at the UN Climate Action Summit in New York condemns the adults for not doing enough to combat climate change ""]",-1,['Greta Thunberg continues her work in climate activism after giving an emotional speech at the 2019 Climate Action Summit'],not_relevant,[],-1,[],not_relevant,[],-1,[]
43,thedailycaller,right_bias,False,2019,-1,yes,yes,-1,-1,yes,yes,-1,-1,yes,no,-1,-1,no,no,-1,-1,yes,yes,-1,-1,no,no,-1,-1,no,no,-1,-1,no,no,-1,-1,no,no,-1,-1,yes,yes,-1,-1,no,no,-1,-1,yes,yes,-1,-1,no,no,-1,-1,no,no,-1,-1,no,no,-1,-1,no,yes,-1,-1,no,no,-1,-1,yes,yes,-1,-1,,,-1,-1,yes,yes,-1,-1,yes,yes,-1,-1,no,no,-1,-1,no,no,-1,-1,yes,yes,-1,-1,['other'  'Bipartisanship'],['lawmakers 0'],-1,-1,['the Green New Deal 1'],['the Green New Deal 1'],-1,-1,[],[],-1,-1,[],[],-1,-1,['Manchin  Murkowski United In Opposition To The Green New Deal'],['Manchin  Murkowski United In Opposition To The Green New Deal'],-1,-1,['no_winner'],['no_winner'],-1,-1,['Curbelo 6'],['Curbelo 6'],-1,-1
664,The Huffington Post,left_bias,False,2017,-1,yes,yes,-1,-1,yes,yes,-1,-1,yes,yes,-1,-1,no,no,-1,-1,yes,no,-1,-1,no,yes,-1,-1,yes,yes,-1,-1,no,no,-1,-1,no,yes,-1,-1,yes,yes,-1,-1,yes,yes,-1,-1,no,no,-1,-1,no,no,-1,-1,no,no,-1,-1,no,no,-1,-1,no,no,-1,-1,no,no,-1,-1,no,yes,-1,-1,,,-1,-1,yes,yes,-1,-1,yes,yes,-1,-1,yes,yes,-1,-1,no,no,-1,-1,no,yes,-1,-1,['other'  'Congressional Democrats'],['EPA head Scott Pruitt 0'],-1,-1,['EPA head Scott Pruitt 0'],['Trump 2'],-1,-1,['other'  'Region 5 Office'],['the Great Lakes area office 1'],-1,-1,[],[],-1,-1,"[""Closing EPA's Great Lakes Office Would Put Nation's Water At Risk  Dems Warn Scott Pruitt""]","[""Closing EPA's Great Lakes Office Would Put Nation's Water At Risk  Dems Warn Scott Pruitt""]",-1,-1,[],['no_winner'],-1,-1,[],['other'  'employees '],-1,-1
79,thedailycaller,right_bias,False,2019,-1,not_relevant,-1,-1,-1,not_relevant,-1,-1,-1,not_relevant,-1,-1,-1,not_relevant,-1,-1,-1,not_relevant,-1,-1,-1,not_relevant,-1,-1,-1,not_relevant,-1,-1,-1,not_relevant,-1,-1,-1,not_relevant,-1,-1,-1,not_relevant,-1,-1,-1,not_relevant,-1,-1,-1,not_relevant,-1,-1,-1,not_relevant,-1,-1,-1,not_relevant,-1,-1,-1,not_relevant,-1,-1,-1,not_relevant,-1,-1,-1,not_relevant,-1,-1,-1,not_relevant,-1,-1,-1,not_relevant,-1,-1,-1,not_relevant,-1,-1,-1,not_relevant,-1,-1,-1,not_relevant,-1,-1,-1,not_relevant,-1,-1,-1,not_relevant,-1,-1,-1,not_relevant,-1,-1,-1,not_relevant,-1,-1,-1,not_relevant,-1,-1,-1,not_relevant,-1,-1,-1,not_relevant,-1,-1,-1,not_relevant,-1,-1,-1,not_relevant,-1,-1,-1
743,BBC,left_center_bias,False,2017,-1,yes,yes,-1,yes,yes,yes,-1,no,yes,yes,-1,no,no,no,-1,no,yes,no,-1,yes,yes,no,-1,yes,no,no,-1,no,no,no,-1,no,no,no,-1,no,no,no,-1,yes,no,no,-1,no,no,no,-1,no,no,no,-1,no,no,no,-1,no,no,no,-1,no,no,no,-1,no,no,no,-1,no,no,no,-1,no,,,-1,,yes,yes,-1,yes,no,yes,-1,no,no,no,-1,no,no,no,-1,no,no,no,-1,no,['other'  'Paris Agreement '],['the '],-1,['other'  'emissions reduction'],[],['emissions contained in the Paris agreement 3'],-1,[],[],[],-1,[],[],[],-1,[],"[""Paris climate aim 'still achievable'""]","[""Paris climate aim 'still achievable'""]",-1,"[""Study suggests Paris climate aim of limiting warming below 1.5C is 'still achievable'""]",[],[],-1,[],[],[],-1,[]
520,cbsnews,left_center_bias,False,2018,-1,yes,-1,-1,yes,yes,-1,-1,yes,yes,-1,-1,yes,no,-1,-1,no,yes,-1,-1,yes,yes,-1,-1,yes,no,-1,-1,yes,yes,-1,-1,yes,no,-1,-1,no,yes,-1,-1,yes,yes,-1,-1,yes,yes,-1,-1,yes,no,-1,-1,no,no,-1,-1,no,no,-1,-1,no,yes,-1,-1,yes,no,-1,-1,yes,yes,-1,-1,no,,-1,-1,,yes,-1,-1,yes,yes,-1,-1,yes,yes,-1,-1,yes,yes,-1,-1,yes,no,-1,-1,no,['other'  'California lawsuit'],-1,-1,['sued 1'],['the Trump administration 2'],-1,-1,['the Trump administration 2'],['other'  'Californians '],-1,-1,['other'  'California; children'],['other'  'auto industry'],-1,-1,['other'  'Automakers'],['California  16 other states sue EPA over auto emissions rollbacks'],-1,-1,['California  16 other states sue EPA over auto emissions rollbacks'],[],-1,-1,[],[],-1,-1,[]
640,Fox News,right_bias,False,2017,-1,yes,yes,-1,-1,yes,yes,-1,-1,yes,yes,-1,-1,no,no,-1,-1,yes,yes,-1,-1,yes,no,-1,-1,no,yes,-1,-1,yes,no,-1,-1,no,no,-1,-1,yes,yes,-1,-1,yes,yes,-1,-1,no,yes,-1,-1,no,no,-1,-1,no,yes,-1,-1,no,no,-1,-1,no,yes,-1,-1,no,yes,-1,-1,yes,no,-1,-1,,,-1,-1,yes,yes,-1,-1,yes,yes,-1,-1,yes,yes,-1,-1,no,no,-1,-1,no,no,-1,-1,['the Paris climate accord 1'],['three prominent European heads of state 2'],-1,-1,"[""President Trump 's 0""]","[""President Trump 's 0""]",-1,-1,['other'  'Global climate response '],['our planet 5'],-1,-1,[],[],-1,-1,['Paris agreement on climate change: World reaction to US pullout'],['Paris agreement on climate change: World reaction to US pullout'],-1,-1,[],[],-1,-1,[],[],-1,-1
